"","GSM307000","GSM307012","GSM307013","GSM307018","GSM307020","GSM307023","GSM307028","GSM307030","GSM307031","GSM307032","GSM307053","GSM307072"
"210999_s_at",6.21463354104236,6.12177952309666,6.65144233730583,6.26206214729283,5.89865076236272,6.20833024818227,6.13719967304692,5.94903873313409,6.39852141186654,6.14526684344048,6.3750753315588,6.37842514748594
"211000_s_at",2.67767869823863,2.89785899948944,2.76521723035869,2.80698218391691,2.66913916162148,2.58327645589862,2.70471671120348,2.79516299222662,2.91274541127588,2.83020072509584,3.16497150325695,3.04798388212644
"211001_at",3.80272565013383,4.62351253327895,4.48720560434973,4.27759796162087,4.23365265701082,4.61833985004445,4.05885987984686,4.40866694200332,4.44806996487945,4.22268793922271,4.67615758365945,4.17076245117836
"211002_s_at",4.04869983248132,3.85605542965207,3.85169875738163,3.71929839671715,3.68123830261657,3.92935059146573,3.92924296736006,3.8129061660415,3.98492844642337,3.57571295196414,4.17653517754649,4.00676585427733
"211003_x_at",4.22357408472245,4.15336554946068,4.13832113846235,4.28464896387424,3.9321338712636,4.20648174162752,4.12510166534041,4.08383214920482,4.23834171281161,4.59892423629289,4.17117302093181,4.2501918218081
"211004_s_at",4.19165374747624,4.29077683378866,4.222170870998,4.61641067200179,4.57493330316205,4.30803021827413,4.53558556899972,4.56871230566985,4.45201157594455,4.90794775798019,4.85219465608933,4.5989242362929
"211005_at",5.4705384323001,5.4139620485691,5.84009156216026,5.79103231576043,5.22948155616877,5.45968893472389,5.79425560344873,5.0939718237943,5.76297804962092,4.83099465468907,4.98734667190776,4.87881546059083
"211006_s_at",2.82253204507778,3.04491008367175,2.65248244007334,2.79480772078996,2.78860838855984,3.05427701152487,2.98897123656083,2.79422884527869,3.02151787711521,2.96723786336088,3.24880244308772,3.12550650759498
"211008_s_at",5.14722264439992,4.97210225702289,5.08273333975457,4.93547205332993,5.12108243258971,4.65239211509531,4.97975451682045,5.19617515591515,5.44757946762254,5.30747944687682,5.10533600282793,5.18478075274037
"211009_s_at",5.55447048165455,5.13130174209111,4.2607476596675,5.02236447065958,5.41168781611624,5.42884505757038,5.94798356505488,5.00261748475425,5.33457387234758,4.89230342601444,4.51905008352319,5.06802199121185
"211010_s_at",4.60004549068865,4.80111866263724,4.55938194454192,4.68586567557701,4.84192029451497,4.48078485148823,4.94034560223879,4.78039569187724,4.59112311494942,4.87238854268805,5.20647544867855,4.96271697202057
"211011_at",3.10800341834444,3.15815646058024,3.24981725025664,3.24633289585661,3.26994380057596,3.19308445620141,3.11539174320087,3.38635977499335,3.28164858202699,3.46104880029329,3.28478443006549,3.28496863200038
"211012_s_at",6.54053256138311,6.68526854098369,6.49610973273963,6.3573171579337,6.39701139163156,6.41439842289076,6.28579058412567,6.61545972232991,6.54208549550853,6.44283719256858,6.52472174974346,6.58225483957545
"211013_x_at",5.70593716179354,6.02415492555847,5.63686865178779,5.88318294185546,6.06478902403959,6.01146282150585,5.43160491877485,5.92298728023726,5.64163684582946,6.00056081873224,4.79404228613583,5.7035947651892
"211014_s_at",5.1071103773358,5.05207930719047,5.01770020671007,4.87696522789985,4.76462393296372,4.9047647820456,4.834524121098,5.27448053787815,5.11482709343179,5.21862486346567,5.29726733798076,4.90475472268905
"211015_s_at",6.08284252091356,6.49508756130846,6.07450430908192,6.45607374630311,5.93962639995935,6.26606186362189,5.10725115539039,5.62282257439098,5.70934924327833,5.39899816736972,5.59774069549209,5.85901865931463
"211016_x_at",4.19338539376323,4.25544646508084,4.27025520263641,4.33992257254335,3.75609407162102,4.18034599088415,3.66854177141921,3.98383993441,4.17563484170014,4.08776875556861,4.37199178252671,3.92462192256619
"211017_s_at",2.90943489278076,2.92736023146714,3.05346666524669,2.81301960666286,2.80160666976081,2.59641524905772,3.13825801024927,2.83765393492267,2.99408915857791,2.76269722408497,3.51984540890227,2.56072929470161
"211018_at",3.19566454769478,3.2941028681952,3.29904885799382,3.26290064325902,3.4192200635855,3.29189081936392,3.40751262705533,3.35382671647609,3.62015747297104,3.27280300099442,3.36872422983715,3.33257601510235
"211019_s_at",3.7124921689639,3.94973571940511,3.87767938296515,3.94099525607804,4.08443441742672,3.88343565648213,4.05867732817312,3.82604278350291,3.72756394286203,3.94973571940511,3.73859290210795,4.00280683393024
"211020_at",2.48138040157657,2.41646889113446,2.7183975441945,2.55111606804498,2.5310199224462,2.31096778001351,2.7287304918974,2.10420239388111,2.55111606804498,2.39362481381841,2.67917159810247,2.48776448360176
"211021_s_at",4.41966112897863,5.04273678759532,5.23030506351058,5.05951780389032,4.9569650959837,4.9055204329774,4.87727406706834,4.80927234275477,4.66741601874514,4.38204159222033,5.23403231996372,4.78041150038155
"211022_s_at",2.98011632114207,2.87047761876365,2.74309830789209,3.02008747008893,2.95550865428891,2.87307034782477,2.87163226866909,2.94521403787226,2.92232884110358,2.86244480609623,2.70543196554149,2.91621026173514
"211023_at",8.84711984583977,8.65573391758101,9.1343738968998,9.07368331921703,9.05426891650033,8.87628383375719,8.28351279750014,8.79274097907543,8.4026507946124,8.43208168643337,8.431063981064,8.36616416467083
"211024_s_at",3.00330318632622,3.1490117405307,3.29369892791029,3.01529228942555,3.02321125498493,3.0161567438784,3.21544723589077,2.98156389491348,2.9681657587532,3.08072613361579,3.08070283754273,2.96618797862382
"211025_x_at",9.5463199894075,9.77916266489217,10.1356470969122,9.83387180130069,9.83378021176362,9.85946725844229,9.23603534550439,9.74109011565435,9.59692485726202,9.48130916463246,9.69363902197614,9.57161401879707
"211026_s_at",7.28153420746899,6.80542705790941,7.69180577655887,7.05194847748783,7.28068615673478,7.05128520513585,8.12950969773044,7.20745997678016,7.76077260967546,7.4471964540254,7.54912865786591,7.66735290849283
"211027_s_at",3.15412918569256,3.05416098346131,3.260534256705,3.48460344150081,3.3441213870209,3.07963007322358,2.75868543721965,3.70743034636589,3.37826472698298,3.16495977799578,3.41082331836183,3.21196016519901
"211028_s_at",6.14469322530456,6.10114350828569,6.19821167780435,6.09001181040963,6.15911929953193,6.32678061805887,6.24170454628918,5.9389193586501,6.24108733600772,5.95019631960157,6.67965204956695,6.373558130503
"211029_x_at",3.35091935864014,2.89930292887095,3.76338912231783,3.4503728050481,3.69691670831621,3.4015629361612,3.27827650886073,3.1174238797981,3.42133569616088,3.36357021652041,4.46774331365178,3.32059267934627
"211030_s_at",3.33701309413949,3.07778699462621,3.43552059324,3.50769863640781,2.96382282642142,3.00147077984262,3.4310452439529,3.49672146315774,3.81017966134267,3.41481957914549,4.50465043144754,3.88779943571612
"211031_s_at",6.70187179298945,6.60678660187184,7.04918053219925,6.32276115460817,6.68324048646055,6.49587692532445,7.26339085453418,6.67031418521358,7.37449853107568,6.75109846051804,6.71607933259013,7.00145709018823
"211032_at",2.4270057901716,2.48249858773684,2.55771159382433,2.52521185841955,2.47953304486141,2.56384745857292,2.44929321569963,2.42519767071277,2.87369884727974,2.40171040194116,2.54891819687335,2.31908657276772
"211033_s_at",5.48192979138225,5.75692416109721,5.67708449521904,5.31420007468892,5.47700022360539,5.58526984626808,4.98670947239552,5.33931784779681,5.58768334780365,5.37474179704651,5.20070643467702,5.47739706508315
"211034_s_at",6.0290408782449,5.82342495152758,6.17684681713005,6.06448078894316,5.8473472158311,5.82882962784651,6.05536267092341,6.04335176016039,6.5731339149235,5.44324685794486,5.61359039155192,5.86159935615878
"211036_x_at",10.0357182252236,9.90161209403725,10.1304525244272,10.1050506011879,9.83008665884008,9.6204002718397,9.99731073042789,9.73862603558485,9.85766727147763,9.73774923124478,9.38590205427479,9.2239412211836
"211037_s_at",5.56237473606184,5.40027342624149,5.27020664390739,5.72812848959972,5.62923173312411,5.39451453924973,6.56646508351634,5.51176814759792,6.08707229378388,6.08695906878455,5.58065836379809,6.21821949199929
"211038_s_at",7.39138695947468,6.37641759262382,6.68909660928734,6.76764908307923,6.88494637070076,6.79198476234055,7.06516771453004,6.17749185635611,7.29262510165092,6.63233377389027,6.48888302736877,6.95783780782998
"211039_at",2.37062446582251,2.85904279885204,2.63448830591755,2.66856182367156,2.74305971176227,2.80423779072013,2.6652727521604,2.60622190895222,2.52646830095573,2.65395598012448,2.72269484798382,2.73222312199581
"211040_x_at",7.14384510151079,6.88711710720951,7.18852775729772,7.29161298863968,6.66332224775743,6.80004267672966,7.18388833085243,6.72509261126005,6.76107453732225,6.91953017337358,6.92346819576593,6.81493862276829
"211042_x_at",7.64395266137023,8.05429037660877,8.02809187290563,8.32567358187818,7.75632350420212,7.38360968317599,7.27943185008881,7.58266441723767,7.2644082571565,7.49337804257786,6.35595878880604,6.58728082220918
"211043_s_at",6.23736376574467,6.62788696784351,6.89327699954533,6.43631629982906,6.3896033939098,6.73580471897506,6.25807718503684,6.51340745106344,6.44674419318411,6.57723555605481,6.27813360925433,6.90400823156565
"211044_at",2.4393930354767,2.52796187642161,2.67186632562537,2.82768165080821,2.77206201145929,2.69600462920951,2.98555023874335,2.7287304918974,2.79248893965375,3.00335512058233,2.78274375921176,2.66858951869426
"211045_s_at",2.98610541943764,3.20044826547976,3.2708567325659,3.54677606783226,3.11716338914189,3.28479561597485,3.37159972266183,3.36146590644386,3.17949061667922,3.2491784194295,4.30107746902967,3.4243091595577
"211046_at",2.66842092687644,2.59833090522991,3.07959629119906,2.7969034603628,2.72139996882066,2.77242547688815,2.6082274078722,2.80160389273093,2.86692535921985,2.90702864401077,2.91453762959228,3.04073820731092
"211047_x_at",9.36153944724115,9.750351104059,9.78404402087525,9.6832512370097,9.69436268114647,9.42476097846536,9.3229649214111,9.50699448605274,9.31598771489405,9.26944612254316,9.35288593401073,9.41587465121194
"211048_s_at",7.37809856136341,7.9994612940203,7.55517441322863,7.8904220393756,7.58115677682735,7.59915022724411,7.16897982986729,7.44069655808266,7.48875786491909,7.42373861679189,7.27824345569609,6.87346050827414
"211049_at",3.84440932878027,4.13601294806276,4.25605717781269,4.28429074785994,4.13714450334918,4.03869594219994,3.91336370703046,4.3280948013262,3.76130225104696,4.40459260371333,4.22713626923464,3.89305108550571
"211050_x_at",3.14849942503708,3.0370830426152,2.98870686681303,3.20947746820608,3.17108136453706,3.4001485369606,3.24726324466921,3.21901395257859,3.47858158429756,3.25802716537305,3.42654080365176,3.28122143736571
"211051_s_at",4.16155120852947,3.92200450254008,4.23892716097614,4.36422538680782,4.47938228922959,4.3439827883615,4.23113578756497,4.53413534198107,4.34082844365541,4.17631521511411,4.43296621973221,4.14590655415452
