ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1766762	1.71E-07	1.66E-08	1.23E+01	8.9859092	0.4490391	528524490	DYNLRB1	dynein light chain roadblock-type 1
ILMN_2086077	1.73E-07	1.67E-08	1.23E+01	8.9785463	0.4351168	44921611	JUNB	"JunB proto-oncogene, AP-1 transcription factor subunit"
ILMN_1711617	1.73E-07	1.68E-08	-1.23E+01	8.9736883	-0.44697684	666335605	GMFG	glia maturation factor gamma
ILMN_1789627	1.74E-07	1.68E-08	1.23E+01	8.9722868	0.49130295	313151231	Sep-05	septin 5
ILMN_1673215	1.74E-07	1.69E-08	-1.23E+01	8.9691713	-0.46598812	222352150	PCBP1	poly(rC) binding protein 1
ILMN_1731745	1.75E-07	1.69E-08	1.23E+01	8.9659809	0.50912	661567382	NINJ2	ninjurin 2
ILMN_1711823	1.75E-07	1.69E-08	1.23E+01	8.9647066	0.56750768	289547535	FAAP100	Fanconi anemia core complex associated protein 100
ILMN_1697024	1.75E-07	1.69E-08	-1.23E+01	8.9641781	-0.47970455	194733757	STYX	serine/threonine/tyrosine interacting protein
ILMN_1782551	1.76E-07	1.71E-08	1.23E+01	8.9547026	0.55942452	134142810	E2F5	E2F transcription factor 5
ILMN_1774196	1.77E-07	1.71E-08	1.23E+01	8.9506794	0.42329309	387942389	URM1	ubiquitin related modifier 1
ILMN_2100815	1.77E-07	1.72E-08	1.23E+01	8.9505095	0.4994206	554790391	TMEM9B	TMEM9 domain family member B
ILMN_1767253	1.77E-07	1.72E-08	1.23E+01	8.9493588	0.52542116	223278378	RRP12	ribosomal RNA processing 12 homolog
ILMN_2120273	1.78E-07	1.72E-08	-1.23E+01	8.9443803	-0.46385987	440918683	AP1S2	adaptor related protein complex 1 sigma 2 subunit
ILMN_1702489	1.78E-07	1.73E-08	1.23E+01	8.9416036	0.50869918	378744182	TRIM63	tripartite motif containing 63
ILMN_1689180	1.78E-07	1.73E-08	-1.23E+01	8.9408801	-0.67244542	NA		
ILMN_1712914	1.79E-07	1.74E-08	1.23E+01	8.9375513	0.48955857	312836842	SEMA6B	semaphorin 6B
ILMN_1722872	1.79E-07	1.74E-08	1.23E+01	8.9350819	0.4504856	673132020	MYH9	"myosin, heavy chain 9, non-muscle"
ILMN_1771620	1.79E-07	1.74E-08	1.23E+01	8.9349763	0.51123872	300795278	SNRPB2	small nuclear ribonucleoprotein polypeptide B2
ILMN_1743396	1.79E-07	1.74E-08	-1.23E+01	8.9338234	-0.56432708	156104863	ACOX3	"acyl-CoA oxidase 3, pristanoyl"
ILMN_2201678	1.79E-07	1.74E-08	1.23E+01	8.9336876	0.48614369	197304788	FSTL1	follistatin like 1
ILMN_3249240	1.79E-07	1.74E-08	1.23E+01	8.9331318	0.43968013	454597948	C4orf46	chromosome 4 open reading frame 46
ILMN_2220518	1.80E-07	1.75E-08	-1.23E+01	8.9319587	-0.45279096	38788352	LAMTOR5	"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5"
ILMN_1765371	1.80E-07	1.75E-08	1.23E+01	8.9298491	0.59007232	995970172	LUC7L	LUC7 like
ILMN_3213692	1.80E-07	1.75E-08	1.23E+01	8.9296638	0.71562883	NA		
ILMN_2410772	1.80E-07	1.75E-08	1.22E+01	8.9263835	0.54731442	45269143	KEAP1	kelch like ECH associated protein 1
ILMN_2104830	1.81E-07	1.76E-08	-1.22E+01	8.9224458	-0.57743034	699964213	ACP2	"acid phosphatase 2, lysosomal"
ILMN_1803742	1.81E-07	1.76E-08	-1.22E+01	8.9223474	-1.12026043	89357939	CAPZA1	capping actin protein of muscle Z-line alpha subunit 1
