"ID","GEO2R_logFC","scripted_logFC","GEO2R_adjP","scripted_adjP"
"ILMN_1651949",0.05039195,0.0503919496666674,0.463,0.462585753861242
"ILMN_1651950",0.36355222,0.363552222000002,5.56e-06,5.56223918960077e-06
"ILMN_1651958",-0.01731183,-0.0173118316666665,0.86,0.860257873257407
"ILMN_1651964",-0.68174958,-0.681749584666667,6.86e-09,6.86103340852766e-09
"ILMN_1651966",0.12765545,0.127655447666668,0.0464,0.0464063621177927
"ILMN_1651967",-0.01405059,-0.0140505936666653,0.88,0.879931273655296
"ILMN_1651980",-0.04229773,-0.0422977319999998,0.54,0.539737668619557
"ILMN_1651984",0.07930912,0.0793091189999986,0.161,0.160869625566961
"ILMN_1651987",0.4679934,0.467993396666667,8.07e-06,8.06886744716549e-06
"ILMN_1652000",-0.32878356,-0.328783557333336,5.2e-06,5.19788728000973e-06
"ILMN_1652003",0.33040795,0.330407951,0.000157,0.000156740473708687
"ILMN_1652006",0.28146319,0.281463185666668,0.000416,0.000415961184372584
"ILMN_1652008",0.24076993,0.240769925333334,0.00047,0.000470276689890197
"ILMN_1652015",-0.00213393,-0.00213392800000012,0.981,0.981372996495594
"ILMN_1652017",-0.01344361,-0.0134436130000015,0.864,0.864039178050757
"ILMN_1652022",-0.00592049,-0.00592048966666514,0.96,0.95973263377381
"ILMN_1652023",0.05433449,0.0543344893333346,0.339,0.338636175465697
"ILMN_1652024",0.08486104,0.084861038333333,0.17,0.170445886435441
"ILMN_1652037",0.03184623,0.0318462306666669,0.705,0.704688954290876
"ILMN_1652056",0.04245278,0.042452775000001,0.496,0.496162397838981
"ILMN_1652065",0.00310203,0.00310202766666823,0.971,0.970717363026285
"ILMN_1652066",-0.02149219,-0.0214921893333342,0.76,0.760287305459094
"ILMN_1652072",0.01431095,0.0143109486666662,0.86,0.860279607561396
"ILMN_1652073",0.11880553,0.118805530000007,0.0223,0.0223254315032285
"ILMN_1652079",-0.00094061,-0.000940613333333395,0.993,0.992732892085704
"ILMN_1652081",-0.02724614,-0.027246144666667,0.685,0.684853919104003
"ILMN_1652082",0.01324389,0.0132438893333333,0.916,0.916445276691763
"ILMN_1652085",-0.02826765,-0.0282676533333355,0.758,0.75843945370939
"ILMN_1652088",0.03266514,0.0326651433333343,0.619,0.618641463507951
"ILMN_1652098",0.035976,0.0359759986666663,0.561,0.561281796670382
"ILMN_1652104",0.03608658,0.0360865776666675,0.644,0.643935117498274
"ILMN_1652110",-0.0122728,-0.0122728039999993,0.882,0.882167477451766
"ILMN_1652113",0.0084728,0.00847279966666914,0.941,0.941097889310326
"ILMN_1652123",-0.22140639,-0.221406386666665,0.000162,0.000162364093027558
"ILMN_1652128",0.03884562,0.0388456233333372,0.627,0.626793711218448
"ILMN_1652132",-0.02230032,-0.0223003246666664,0.75,0.74969547986894
"ILMN_1652137",0.06560302,0.0656030170000008,0.246,0.246374415380084
"ILMN_1652144",0.00420259,0.00420258633333592,0.97,0.970107145917956
"ILMN_1652147",-0.06304539,-0.0630453886666649,0.271,0.271114748435444
"ILMN_1652151",0.02861832,0.028618320666669,0.729,0.72939536853132
"ILMN_1652155",-0.14806248,-0.148062480666665,0.0374,0.0373882795349439
"ILMN_1652160",-0.27321061,-0.273210607333333,0.00225,0.00225399463907019
"ILMN_1652161",-0.08422137,-0.0842213679999997,0.0951,0.0950884593598953
"ILMN_1652163",-0.35733537,-0.357335370666666,9.29e-07,9.28892319223774e-07
"ILMN_1652164",-0.00813172,-0.0081317229999982,0.923,0.922766977144684
"ILMN_1652166",0.08595736,0.0859573619999994,0.0709,0.0709335179395349
"ILMN_1652170",0.01549307,0.0154930699999998,0.84,0.840381996078064
"ILMN_1652171",-0.26700939,-0.267009387333334,0.000931,0.00093149402547943
"ILMN_1652175",0.04087621,0.0408762106666671,0.594,0.593981050660496
"ILMN_1652178",0.00507964,0.00507964366666602,0.959,0.958877089535392
"ILMN_1652181",-0.01522696,-0.0152269589999996,0.836,0.835525949648544
"ILMN_1652185",-0.5470175,-0.547017502333333,2.86e-08,2.85823692878035e-08
"ILMN_1652188",0.00620726,0.00620726166666685,0.943,0.942711861802218
"ILMN_1652196",-0.13886056,-0.138860555000001,0.0253,0.0252637608607398
"ILMN_1652198",0.47711791,0.477117906999999,1.42e-06,1.41652511470711e-06
"ILMN_1652199",-0.0180605,-0.0180604970000022,0.825,0.824917355941863
"ILMN_1652205",-0.00552564,-0.00552563900000003,0.962,0.96240044433117
"ILMN_1652206",-0.02991671,-0.0299167143333321,0.702,0.70227765538693
"ILMN_1652207",-0.12347073,-0.123470726666667,0.0181,0.0180649115541386
"ILMN_1652209",0.2923867,0.292386696333334,7e-06,6.99647643717348e-06
"ILMN_1652215",0.39406077,0.394060767333334,4.37e-05,4.36891392123743e-05
"ILMN_1652218",0.05277485,0.0527748453333334,0.548,0.548427292373231
"ILMN_1652219",-0.00899019,-0.00899018733333179,0.926,0.925757756696978
"ILMN_1652223",-0.05689138,-0.0568913843333334,0.407,0.40675550355137
"ILMN_1652230",-0.04074069,-0.0407406866666644,0.512,0.51188605400832
"ILMN_1652236",-0.00621389,-0.00621388833333381,0.944,0.943509035759018
"ILMN_1652237",0.04646148,0.0464614833333359,0.516,0.516339452452807
"ILMN_1652242",0.02688113,0.026881132333334,0.792,0.792344286203708
"ILMN_1652243",0.03022715,0.0302271523333344,0.639,0.638594926050448
"ILMN_1652244",-0.29554646,-0.295546461000001,1.37e-05,1.37385347783899e-05
"ILMN_1652246",0.28219074,0.282190735,4.66e-05,4.65721743287348e-05
"ILMN_1652248",0.02179898,0.0217989840000001,0.751,0.751103655873423
"ILMN_1652249",-0.00455497,-0.00455496499999875,0.958,0.958425690415256
"ILMN_1652254",-0.02327332,-0.0232733236666665,0.729,0.728550409426744
"ILMN_1652259",-0.01674721,-0.016747212666667,0.835,0.835181789117641
"ILMN_1652276",-0.34985207,-0.349852072000001,1.16e-06,1.15803678066543e-06
"ILMN_1652277",-0.02762398,-0.0276239826666664,0.725,0.725298760100229
"ILMN_1652280",0.3159745,0.315974499333335,7e-06,6.99647643717348e-06
"ILMN_1652284",-0.0097764,-0.00977639599999769,0.92,0.920426743332813
"ILMN_1652287",-0.03151901,-0.031519013333333,0.721,0.721371413922207
"ILMN_1652291",0.02471892,0.0247189203333313,0.761,0.761499551969942
"ILMN_1652297",0.00709476,0.00709476099999939,0.945,0.944535072466361
"ILMN_1652300",0.04421575,0.0442157493333326,0.45,0.449659382374407
"ILMN_1652306",0.02434575,0.0243457530000022,0.793,0.792921254009866
"ILMN_1652309",0.29303917,0.293039166333337,3.82e-05,3.82276366307368e-05
"ILMN_1652313",-0.13988499,-0.139884988333335,0.00591,0.00591383494124341
"ILMN_1652314",-0.02976009,-0.029760086333332,0.668,0.667993195414153
"ILMN_1652319",0.00982645,0.00982645100000035,0.932,0.931710685676487
"ILMN_1652331",-0.30196266,-0.301962657666664,0.00602,0.00601784901280991
"ILMN_1652333",-0.48079463,-0.480794633333334,8.51e-07,8.51210092296616e-07
"ILMN_1652342",-0.01669447,-0.0166944676666665,0.825,0.824861151822104
"ILMN_1652343",0.04216647,0.0421664720000008,0.487,0.487310770239841
"ILMN_1652348",-0.08873558,-0.0887355800000007,0.118,0.117878757043067
"ILMN_1652357",-0.11389012,-0.113890116666663,0.0353,0.0352564901950913
"ILMN_1652365",-0.01339029,-0.0133902906666679,0.896,0.895547993806894
"ILMN_1652366",0.05557392,0.0555739163333326,0.358,0.35765108793051
"ILMN_1652368",0.00152273,0.00152273199999975,0.989,0.989103731398484
"ILMN_1652369",-0.19024599,-0.190245987999999,0.00552,0.00551547692762978
"ILMN_1652371",-0.34499403,-0.344994027,3.43e-06,3.42831055995159e-06
"ILMN_1652376",-0.00437342,-0.00437341633333421,0.961,0.961430529876506
"ILMN_1652378",0.46651711,0.466517112333333,1.24e-07,1.24436438679577e-07
"ILMN_1652379",-0.20794437,-0.20794437,0.0128,0.0128221300169836
"ILMN_1652381",-0.01522659,-0.015226588,0.848,0.84756818178538
"ILMN_1652392",0.01561076,0.0156107586666687,0.861,0.860725916230485
"ILMN_1652394",-0.72630276,-0.726302763666666,4.89e-10,4.89466476402869e-10
"ILMN_1652397",-0.038488,-0.0384880009999993,0.534,0.534049358078744
"ILMN_1652407",0.31325052,0.313250518000004,6.78e-05,6.78287841270956e-05
"ILMN_1652409",0.00551465,0.00551465366666548,0.952,0.952494097883061
"ILMN_1652412",-0.12507021,-0.125070210666667,0.0127,0.0127052677354659
"ILMN_1652413",-0.00587322,-0.00587322399999746,0.948,0.947758343300685
"ILMN_1652417",-0.01537905,-0.015379046333333,0.868,0.868207089921921
"ILMN_1652424",0.01780323,0.0178032263333314,0.845,0.84477198057941
