target,candidate,n_probes,baseline_log2_expression,log2_variance_all_six,log2_variance_within_group,qualifies,distance
PPP2R5A,AIP,1,9.587832298666667,-2.153763538418756,-8.25451975355689,False,0.2893571115397953
PPP2R5A,RHPN2,1,9.656969581333334,-2.2175798648469587,-8.403821709988595,False,0.2896237592110598
PPP2R5A,DUSP14,1,10.50036833,-6.465803081883017,-8.088209425943111,False,0.2899549971576499
PPP2R5A,C1orf52,1,10.267026233333333,-7.321389476834091,-7.835791464031018,False,0.29012811826029516
PPP2R5A,CDC40,1,9.841867185666667,-5.93725541592919,-8.543267054814006,False,0.29025105567673626
PPP2R5A,SF3B3,1,9.585356893666669,-5.156777547429247,-8.250628703349228,False,0.2903965937628421
PPP2R5A,COQ10B,1,9.995396013333334,-2.378359926172544,-7.79024217936657,False,0.29123620872059164
PPP2R5A,NSMCE2,1,9.990387534333335,-4.8591162811805,-7.789955307743401,True,0.29180468921202013
PPP2R5A,BAIAP2L1,1,10.487106096666666,-7.3552393603367845,-8.330384390618674,False,0.2923077760504342
PPP2R5B,ABCD1,1,7.720077134666667,-6.893659319080536,-12.111690451393194,False,0.06207854587525062
PPP2R5B,C10orf12,1,7.6743730186666665,-9.371726768537068,-11.897583451739026,False,0.125340770009103
PPP2R5B,SMCR5,1,7.681010896666667,-12.404463288335132,-12.201344577021855,False,0.13054579479072545
PPP2R5B,TIMMDC1,1,7.833429200333334,-9.35936446961775,-11.865728904422097,False,0.13419679329897474
PPP2R5B,PRR21,1,7.783473030000001,-8.604999949464466,-12.22968926213655,False,0.13587732857351653
PPP2R5B,EXT1,1,7.8093675156666675,-11.045428856625492,-11.820042926878894,False,0.1644482639897682
PPP2R5B,SLC2A12,1,7.60838124,-4.576572588055267,-12.24122107164582,True,0.17936362116579468
PPP2R5B,SYTL4,1,7.7620617780000005,0.31944716139185636,-11.794055385213632,False,0.18278118194088222
PPP2R5B,MAP2K7,1,7.9292143049999995,-7.87215404606139,-11.81886722179949,False,0.1885273976611846
PPP2R5B,RNPEPL1,1,7.7268977586666665,-9.017982207089153,-12.299006438655272,False,0.1894126295804357
PPP2R5B,PAGE4,1,7.724615374333333,-3.693218066211365,-12.30740619157356,True,0.19570304972538696
PPP2R5B,CMYA5,1,7.969765601,-10.45887957754627,-12.258873945004519,False,0.1963055577197898
PPP2R5B,SNORD74,1,7.462594974333332,-7.208976063529428,-12.085959722206386,True,0.1993694883464682
PPP2R5B,ZNF563,1,7.4550942476666675,-7.878878746569949,-12.026403055067734,False,0.20201883791369804
PPP2R5B,ENTPD1,1,7.4634751203333325,-7.952817727816706,-12.187712721084628,True,0.2228166709715333
PPP2R5B,LOC646626,1,7.532713067666667,-7.852641470018117,-12.272344747812074,True,0.22683558100222134
PPP2R5B,KIRREL3-AS2,1,7.4277228456666675,-11.02666133812067,-12.14242406095639,False,0.23018157851734244
PPP2R5B,IFT140,1,7.517469516999999,-7.418795973944319,-11.817920432929544,True,0.23188806887248303
PPP2R5B,CACNA1C-AS4,1,7.4509618280000005,-10.25649123392406,-11.885169263008374,False,0.23476679830764335
PPP2R5B,MTG1,1,7.770296342333332,-7.93940131460355,-11.720675307621805,True,0.23613072955732806
PPP2R5B,MDH1B,1,7.391374439,-9.645665188440809,-11.98996405518808,False,0.2443227678769101
PPP2R5B,MIR1267,1,7.383001251666666,-11.839675779941865,-12.084280346057701,False,0.24810972288223176
PPP2R5B,HOXC13,1,7.654017152333334,-1.0129655752635325,-11.709303127761277,False,0.2565813001054985
PPP2R5B,NUDT17,1,7.477584763333334,-7.410317122074539,-12.28536384781859,True,0.2576573903643067
PPP2R5B,PTGDR2,1,7.691369292,-8.922075256264561,-11.697279055031139,False,0.25906791992158884
